"","Date","Inflation","Country"
"151","2020-12-31","-0.02","FRA"
"152","2020-11-30","0.2","FRA"
"153","2020-10-31","0.05","FRA"
"154","2020-09-30","0.05","FRA"
"155","2020-08-31","0.22","FRA"
"156","2020-07-31","0.78","FRA"
"157","2020-06-30","0.2","FRA"
"158","2020-05-31","0.36","FRA"
"159","2020-04-30","0.33","FRA"
"160","2020-03-31","0.67","FRA"
"161","2020-02-29","1.43","FRA"
"162","2020-01-31","1.49","FRA"
"163","2019-12-31","1.46","FRA"
"164","2019-11-30","1.03","FRA"
"165","2019-10-31","0.76","FRA"
"166","2019-09-30","0.91","FRA"
"167","2019-08-31","1.04","FRA"
"168","2019-07-31","1.07","FRA"
"169","2019-06-30","1.17","FRA"
"170","2019-05-31","0.94","FRA"
"171","2019-04-30","1.26","FRA"
"172","2019-03-31","1.11","FRA"
"173","2019-02-28","1.32","FRA"
"174","2019-01-31","1.24","FRA"
"175","2018-12-31","1.59","FRA"
"176","2018-11-30","1.89","FRA"
"177","2018-10-31","2.21","FRA"
"178","2018-09-30","2.2","FRA"
"179","2018-08-31","2.26","FRA"
"180","2018-07-31","2.29","FRA"
"181","2018-06-30","2.02","FRA"
"182","2018-05-31","2.02","FRA"
"183","2018-04-30","1.64","FRA"
"184","2018-03-31","1.56","FRA"
"185","2018-02-28","1.18","FRA"
"186","2018-01-31","1.33","FRA"
"187","2017-12-31","1.19","FRA"
"188","2017-11-30","1.18","FRA"
"189","2017-10-31","1.06","FRA"
"190","2017-09-30","0.99","FRA"
"191","2017-08-31","0.9","FRA"
"192","2017-07-31","0.72","FRA"
"193","2017-06-30","0.69","FRA"
"194","2017-05-31","0.81","FRA"
"195","2017-04-30","1.17","FRA"
"196","2017-03-31","1.15","FRA"
"197","2017-02-28","1.21","FRA"
"198","2017-01-31","1.34","FRA"
"199","2016-12-31","0.61","FRA"
"200","2016-11-30","0.53","FRA"
"201","2016-10-31","0.36","FRA"
"202","2016-09-30","0.39","FRA"
"203","2016-08-31","0.23","FRA"
