location,country,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,latitude,longitude,vegetables,fruits
medellin,unknown,2017-01-23,1485147600,28.8,12,19.4,27.5,12,19.2,12.3,70.52,0.4,,4.17,,,0,,14.6,112.3,,58.7,8.9,,,0,06:19:29,1485170369,18:09:03,1485212943,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-01-24,1485234000,26.7,13,18.9,26.7,13,18.9,13.1,72.39,0,,0,,,0,,29,72.9,,59.5,9.8,,,0,06:19:37,1485256777,18:09:24,1485299364,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-01-25,1485320400,27.8,11,18.3,27.5,11,18.3,13.2,76.49,0,,0,,,,,18.3,52.2,,60.9,9.9,,,0,06:19:44,1485343184,18:09:45,1485385785,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-01-26,1485406800,28.8,13,20.2,28.4,13,20.1,14.4,73.63,0,,0,,,0,,18.2,101.4,,62.5,9.4,,,0,06:19:49,1485429589,18:10:05,1485472205,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-01-27,1485493200,27.8,14.9,19.5,28.1,14.9,19.5,15,77.59,11.3,,20.83,,,1,,21.8,57.5,,69.1,8.9,,,0,06:19:54,1485515994,18:10:24,1485558624,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-01-28,1485579600,27.8,13,19.6,27.8,13,19.6,14.5,75.85,1.3,,8.33,,,,,18.1,63.1,,60.1,9.3,,,0,06:19:58,1485602398,18:10:43,1485645043,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-01-29,1485666000,27.7,14,18,27.8,14,18,13.8,79.35,1.4,,8.33,,,0,,18.2,108,,57.6,9.8,,,0,06:20:01,1485688801,18:11:01,1485731461,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-01-30,1485752400,24.8,14,19.2,24.8,14,19.2,15.2,79.02,3.5,,8.33,,,0,,27.1,72.3,,64.3,10.5,,,0,06:20:03,1485775203,18:11:18,1485817878,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-01-31,1485838800,27.7,14,20.1,27.8,14,20.2,15.2,76.38,0,,0,,,,,18.1,46.8,,64.1,9.5,,,0,06:20:04,1485861604,18:11:35,1485904295,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-02-01,1485925200,29.7,14,19.5,30.1,14,19.6,15.2,78.64,1.4,,12.5,,,0,,21.9,50,,67,10.4,,,0,06:20:05,1485948005,18:11:51,1485990711,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-02-02,1486011600,26.5,14,19.1,26.5,14,19.1,14.7,78.45,0.1,,4.17,,,0,,18.1,94.7,,67.2,9.6,,,0,06:20:04,1486034404,18:12:06,1486077126,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-02-03,1486098000,27.8,14.9,20.5,27.6,14.9,20.5,14.4,72.53,0,,0,,,0,,18.1,134.8,,57.6,10.5,,,0,06:20:02,1486120802,18:12:21,1486163541,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-02-04,1486184400,30.7,14.9,21.1,29.8,14.9,21,15,72.69,1.3,,8.33,,,,,32.8,89.9,,52.2,9.5,,,0,06:19:59,1486207199,18:12:34,1486249954,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-02-05,1486270800,30.8,14,21.5,29.1,14,21.1,13.2,67.93,2,,4.17,,,0.03,,18.4,112,,42.8,9.2,,,0,06:19:56,1486293596,18:12:47,1486336367,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-02-06,1486357200,30.7,15,21.5,29.1,15,21.2,13.8,68.52,0,,0,,,0,,20.2,137.6,,50.4,9.5,,,0,06:19:51,1486379991,18:13:00,1486422780,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-02-07,1486443600,30.7,12,20.6,30,12,20.3,13.3,69.83,0,,0,,,0,,18.2,79.1,,41.5,8.9,,,0,06:19:46,1486466386,18:13:11,1486509191,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-02-08,1486530000,31.8,13,21.8,29.7,13,21.4,13.1,67.18,0,,0,,,0,,18.1,114.2,,48.8,9.9,,,0,06:19:40,1486552780,18:13:22,1486595602,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-02-09,1486616400,29.7,13.8,20.7,29.4,13.8,20.7,14.6,71.69,0,,0,,,0,,14.9,117.3,,71.5,9.5,,,0,06:19:33,1486639173,18:13:33,1486682013,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-02-10,1486702800,28.7,13,19.9,27.7,13,19.8,13.5,71.98,0,,0,,,0,,18.2,106.9,,70.6,9,,,0,06:19:25,1486725565,18:13:42,1486768422,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-02-11,1486789200,29.7,14,20.1,29.1,14,20.1,14.6,74.33,10,,8.33,,,0,,18.1,96.4,,66.7,9.7,,,0,06:19:16,1486811956,18:13:51,1486854831,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-02-12,1486875600,25.8,14,19.1,25.8,14,19.1,14.3,76.31,9.6,,16.67,,,1,,25.5,134.3,,69.8,9.6,,,0,06:19:06,1486898346,18:13:59,1486941239,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-02-13,1486962000,29.7,12,19.6,28.6,12,19.4,13.1,71.57,0.3,,8.33,,,0,,18.1,219.3,,64.8,9.2,,,0,06:18:55,1486984735,18:14:07,1487027647,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-02-14,1487048400,29.8,12,19.9,28.6,12,19.6,12.6,69.37,0,,0,,,0,,27.4,124.6,,58.5,9.3,,,0,06:18:44,1487071124,18:14:14,1487114054,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-02-15,1487134800,30.7,13,19.9,29.2,13,19.7,13,70.54,0,,0,,,0,,18,132.6,,70.8,10,,,0,06:18:32,1487157512,18:14:20,1487200460,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-02-16,1487221200,30.6,12,19.5,29.4,12,19.4,13.2,72.23,6,,4.17,,,0,,22.2,129.9,,58.7,9,,,0,06:18:19,1487243899,18:14:25,1487286865,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-02-17,1487307600,27.5,11,18.2,27.1,11,18.1,13.2,76.46,18.4,,16.67,,,1,,28.9,78.2,,68.5,7.9,,,0,06:18:05,1487330285,18:14:30,1487373270,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-02-18,1487394000,29.7,13.8,20.1,28.4,13.8,20,13.1,69.45,4.8,,12.5,,,1,,32.8,28,,63.2,9.3,,,0,06:17:50,1487416670,18:14:35,1487459675,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-02-19,1487480400,29.7,14,20.5,28.6,14,20.4,13.9,70.4,0,,0,,,0,,18.2,116.4,,73.7,9.9,,,0,06:17:35,1487503055,18:14:38,1487546078,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-02-20,1487566800,29.8,14.9,20.6,28.8,14.9,20.5,14.3,71.67,0.1,,4.17,,,0,,29,116.1,,55.8,9.3,,,0,06:17:19,1487589439,18:14:41,1487632481,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-02-21,1487653200,29.8,14,20.1,29.2,14,20,14.8,75.51,0,,0,,,,,27.3,111.9,,74.3,9.3,,,0,06:17:02,1487675822,18:14:44,1487718884,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-02-22,1487739600,28.8,13,18.6,28.2,13,18.5,14.1,78.85,14,,8.33,,,0,,16.6,81,,71.6,8.7,,,0,06:16:45,1487762205,18:14:46,1487805286,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-02-23,1487826000,29.7,10.8,18.9,28.5,10.8,18.7,12.8,73.56,0,,0,,,1,,18.1,120.3,,58,10.2,,,0,06:16:26,1487848586,18:14:47,1487891687,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-02-24,1487912400,27.8,13,18.3,27.8,13,18.3,14.8,83,45.22,,25,,,4,,27.1,131.2,,73.5,7.6,,,0,06:16:08,1487934968,18:14:48,1487978088,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-02-25,1487998800,28.7,12.6,18.6,28.2,12.6,18.6,14.2,79.06,29,,13.04,,,3,,14.2,124.5,,69.8,9.3,,,0,06:15:48,1488021348,18:14:48,1488064488,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-02-26,1488085200,28.1,12.1,18,27.1,12.1,18,12.4,73.35,0,,0,,,,,18.4,68.5,,65.8,8.8,,,0,06:15:28,1488107728,18:14:47,1488150887,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-02-27,1488171600,28.7,13,18.1,28.2,13,18,13.6,78.64,0.6,,4.17,,,0,,18.2,142.2,,73.4,8.4,,,0,06:15:07,1488194107,18:14:47,1488237287,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
