"","Phosphate_Rock","DAP","TSP","Urea","Potassium_chloride","Year","Month","Price_Index"
"1",112.950367710567,301.37756147895,307.711442213127,215.467106429925,277.769460560652,2016,1,90.3173094175501
"2",103.163376550829,293.722801358693,257.908441377073,172.877492364108,271.64854174738,2016,2,80.3004880383424
"3",103.120080406644,304.519451419184,262.303261296377,181.698482288563,271.534534869898,2016,3,81.9974417738409
"4",100.674841213832,291.549047282992,260.232886379675,173.121030345801,265.966831333804,2016,4,81.3630972654559
"5",97.4486961276269,276.472092633584,260.157152557918,174.944661487041,265.88942880072,2016,5,81.0869650850534
"6",98.4859018100015,273.287236583635,254.013411908149,127.118115345262,268.719451544936,2016,6,72.5410387882368
"7",99.8527059631494,275.792270225821,253.924075797692,163.559636012037,255.279542394477,2016,7,76.654630313685
"8",97.8936148387989,283.701939586929,250.86632504248,166.129255250353,184.191630653412,2016,8,72.6947567364571
"9",97.2294078818261,285.444133231049,256.007706991597,167.074019231799,184.200667225661,2016,9,73.0512586877587
"10",98.7140010867596,280.746241622894,258.105415685564,169.806194529976,187.013222242347,2016,10,72.9663904748691
"11",94.9072581016705,274.586047711629,262.607461737632,188.893086513034,190.275231048495,2016,11,74.5104395420476
"12",92.4485350067835,281.256889193714,263.122753480845,206.468394848483,195.801256193854,2016,12,75.0291525343376
"13",91.3346406954161,290.385231836781,254.558482454321,220.381649161843,194.690098617842,2017,1,76.7933070168653
"14",89.179269105485,306.025702404085,261.670750138463,180.118655364368,283.026838266355,2017,2,76.753583796174
"15",91.3153911857702,304.969992357604,269.731617041044,209.322973641227,193.401315690888,2017,3,76.447869763552
"16",89.2324955587879,292.192681535639,265.947829900701,193.97861452845,192.695532892964,2017,4,73.741388256742
"17",83.857062237805,280.35455672477,249.304779625907,162.048106756839,187.205225428181,2017,5,68.5055985244867
"18",82.4038769910558,276.431600327834,244.984499162598,170.152870327477,183.961087553006,2017,6,70.2587160416059
"19",80.4323346680753,272.81778380658,239.775311186181,157.386514323477,180.211906594147,2017,7,68.9156061410605
"20",75.3497928411329,272.320518915982,238.147795965496,163.540888405896,182.962032194526,2017,8,70.7484884515436
"21",71.327873254565,273.479457572503,237.647690655209,183.774167561762,180.837137486574,2017,9,74.0760171977802
"22",67.9754778463669,273.919933384032,240.888099618063,214.547601952596,183.108943448651,2017,10,78.0869434121734
"23",68.3848356626918,294.054793349575,252.169081506176,239.346924819421,184.211651066376,2017,11,82.675083951837
"24",67.5024975924109,301.44084081111,260.517451645711,181.09654432214,181.834852889557,2017,12,74.0994083362186
"25",65.7944786095982,296.383565361674,263.177914438393,180.626404557913,177.233876754605,2018,1,75.4533507922824
"26",66.6995448261365,299.137352553582,258.713385992287,187.971444510021,174.227295879181,2018,2,77.6960816343106
"27",68.6894506952475,306.547961780444,262.755395811809,188.551325698289,174.764777152607,2018,3,78.2752110409024
"28",71.6272614985156,313.165782517658,264.532499852472,187.716331626081,175.405396056024,2018,4,78.5918444876957
"29",74.1281258324936,323.784072350736,274.611011606738,186.899749080506,181.529671782981,2018,5,77.3963629596033
"30",74.3718661854773,335.530216569503,287.20563992364,191.927396607683,184.64443736141,2018,6,78.0304507588384
"31",74.3625516763243,343.010964367944,294.651339946762,216.120445422098,184.451310845395,2018,7,82.6354824151365
"32",75.6799955716391,353.749922157719,309.29333047335,224.877701127156,186.389017665008,2018,8,84.5656108243111
"33",75.0512492816523,361.644094109978,322.720371911105,229.442390661051,184.840505373669,2018,9,86.6972473623904
"34",79.326442437256,365.770966087403,334.692387269519,234.719336526675,187.340803783328,2018,10,88.1518003891444
"35",81.3853636562001,360.9110937489,333.635998901957,268.8796446847,189.605901274715,2018,11,93.1175362730282
"36",87.0138211325046,341.904564693991,323.180404736668,242.756013842191,189.084183261619,2018,12,89.4281453177559
"37",89.8255084726268,334.878259050194,311.102980563732,227.850070272029,188.852654398547,2019,1,86.8190844444662
"38",90.2292703753097,314.596455090031,302.598162844027,220.625971065013,189.70153917931,2019,2,84.8397441476015
"39",86.9718776212971,295.819169131606,283.431195090724,218.53339808397,216.767471634806,2019,3,84.2784796610428
"40",86.705921970006,287.908125515789,275.68036728925,220.099648077707,236.106895210632,2019,4,84.7061472731819
"41",87.1150186292117,280.018941932256,272.513648019585,221.138124212614,237.220896882623,2019,5,84.4224209239325
"42",86.6662814831934,279.892089368492,261.109950622442,219.999022226568,235.998951115773,2019,6,83.7840366381213
"43",71.1192028959739,273.3644361314,252.250922771658,234.248874538614,236.026854611014,2019,7,82.705190209039
"44",70.0220389879122,262.941733584096,246.872573354819,235.651092747781,238.34424809347,2019,8,81.7454226209
"45",70.3580909081005,259.417090025674,245.118510260479,215.840465979366,241.033201756138,2019,9,77.8396496181741
"46",70.1821112590218,251.188568013258,244.50541987014,214.621424108234,240.430329538971,2019,10,77.7323158926362
"47",66.8446178791287,224.019800459783,238.472690812027,202.792117754924,239.827649282549,2019,11,75.0427128728266
"48",65.2169350139479,214.235382660991,218.886024785434,195.650805041844,238.828913740733,2019,12,72.6279055744994
"49",65.2264369496519,238.323905489142,215.022323185749,193.789993364897,220.420373140203,2020,1,70.8394327975559
"50",66.4022787430278,255.882326003132,224.393907476439,196.349248509383,224.393907476439,2020,2,71.0339305499236
"51",65.0589585498043,250.008145946396,221.750763003646,209.196954502174,221.750763003646,2020,3,73.3318086189706
"52",65.1111567852114,259.524328105012,225.473263779177,216.270273420844,225.473263779177,2020,4,73.7047744565066
"53",67.0382584766269,241.852702048736,223.460861588756,185.665629443497,198.631876967783,2020,5,67.4411309330422
