"","Phosphate_Rock","DAP","TSP","Urea","Potassium_chloride","Year","Month","Price_Index"
"54",66.7868235830507,243.104037842305,213.717835465762,179.879178183683,180.324423674237,2020,6,66.803293095636
"55",65.6909372782931,267.230732848096,229.655516724913,187.788492699547,177.365530651391,2020,7,69.8376223485301
"56",65.081945008804,289.414872003251,233.856494649871,211.211567113639,171.424217797643,2020,8,75.9590384974229
"57",67.2313034640467,303.531803167612,239.264842889811,212.162276615567,171.508427204201,2020,9,76.8569766216626
"58",67.9022038509037,303.098462439472,246.145488959526,207.950499293393,171.8774534976,2020,10,76.5946939595584
"59",69.9054793185699,304.728576088937,247.846699402202,207.598090097571,171.586176509217,2020,11,77.1367256878105
"60",68.5912777214163,319.785328150369,263.401042491938,201.66642315789,166.68347220193,2020,12,78.8300765684866
"61",69.7933398679058,345.928636309985,277.202723993,217.591000764648,166.272368508834,2021,1,82.9583385926785
"62",72.8428378372794,437.139680873486,375.041843511466,276.89039686246,167.374045864621,2021,2,100.068127098422
"63",80.6221939288347,447.405012396971,383.635998123702,295.583997855659,169.620719694431,2021,3,104.16787797429
"64",79.6326058918069,455.498505701136,400.677743329302,275.025873611599,169.743186243062,2021,4,101.556392802701
"65",84.4305877604478,473.33023068084,434.50863457206,273.16795920973,166.801892892592,2021,5,106.070973389351
"66",103.413899655425,500.316446532946,455.02115848387,325.340128315967,167.530517441788,2021,6,119.767797833815
"67",105.638206888625,518.049766581818,469.033638585496,373.114146730624,171.133895159573,2021,7,126.956660526003
"68",116.258626181123,512.266694978235,471.387620766536,379.556216158828,187.70570124217,2021,8,130.749240110826
"69",125.279011221602,546.768565924789,487.314119921316,355.664989485057,187.706179525248,2021,9,129.487399670479
"70",127.062723328888,579.664451037349,532.37127469324,598.70232348188,190.378724445317,2021,10,171.532966767799
"71",134.417710518693,637.889414594324,583.737853424742,790.460055652601,193.99408361935,2021,11,204.5106148309
"72",156.243275033091,658.862511460081,607.276672139991,787.097496912043,195.44780541299,2021,12,208.005599771972
