date,wci
2021-08-12,9421
2021-08-19,9613
2021-08-26,9818
2021-09-02,9987
2021-09-09,10084
2021-09-16,10375
2021-09-23,10377
2021-09-30,10310
2021-10-07,9900
2021-10-14,9865
2021-10-21,9669
2021-10-28,9669
2021-11-04,9195
2021-11-11,9193
2021-11-18,9146
2021-11-25,9186
2021-12-02,9051
2021-12-09,9262
2021-12-16,9292
2021-12-23,9304
2021-12-30,9304
2022-01-06,9409
2022-01-13,9545
2022-01-20,9698
