Country,City,Company_name,Type,latitude,longitude
Spain,Albal,Agricola sagrado corazon de jesus de albal coop valenciana,Fruits,39.3972,-0.41444
Spain,Almussafes,Citricos y cebollas de almusafes s.l.,Fruits,39.293,-0.41219
Spain,Murcia,Citricos murcia,Fruits,37.9831,-1.13139
Spain,Algemesi,Coop agricola sagrado corazon de jesus coop v algemesi,Fruits,39.1963,-0.43836
France,Saint claude,Les producteurs de guadeloupe,Fruits,46.3929,5.86449
Spain,Bilbao,Lemona industrial sa,Fruits,43.2689,-2.9453
Spain,Xeresa,Fruxeresa sl,Fruits,39.0117,-0.21756
Spain,Isla cristina,Huerta noble sl,Fruits,37.202,-7.32045
Spain,Jacarilla,Agricola del segura sa,Fruits,38.0616,-0.86817
Spain,Artana,Artan frut coop v,Fruits,39.8907,-0.25436
Italy,Corigliano calabro (cs),Gencarelli egidio,Fruits,39.5979,16.5189
Italy,Carini (pa),Il castello cooperativa arl,Fruits,38.132,13.1814
Spain,Moncofa,Sociedad de exportacion de agrios n 2 de moncofar coop valencia,Fruits,39.8068,-0.14304
Spain,Murcia,Hermanos perez marin sl,Fruits,37.9831,-1.13139
Spain,La pobla llarga,Antonio muñoz y cia sa,Fruits,39.0884,-0.47463
Spain,Xeresa,Ferragud e hijos sl,Fruits,39.0117,-0.21756
Spain,Bigastro,Citricos bigastro coop v de bigastro,Fruits,,
Spain,Palma de gandia,"Cooperativa agricola san miguel de palma de gandia, coop. valenciana",Fruits,38.923,-0.22282
France,Rouen,Pierre craignou sa,Fruits,,
Spain,A coruña,Frutas rios s.l.,Fruits,,
Spain,Telde,Hermanos ramirez ramirez sl,Fruits,,
Spain,Madrid,Carlos gomez sl,Fruits,40.4196,-3.69196
Poland,Skierniewice,Przedsiebiorstwo produkcyjno handlowo uslugowe tekspod jolanta i jozef orlowscy export imp,Fruits,,
Spain,A coruña,Naranjas ibañez sl,Fruits,,
Spain,Sant cebria de vallalta,Productes agricoles carreras sa,Fruits,,
Spain,Huetor-tajar,Espahuetor sdad coop andaluza,Fruits,,
Spain,Calasparra,Perez martinez francisco,Fruits,,
Italy,Gallinaro,Azienda agricola tullio s.r.l.,Fruits,,
Italy,Livorno,Andi frutta di antonangeli enrico,Fruits,,
Spain,Daya nueva,Eco spain gomez garcia sl,Fruits,,
Turkey,Mersin,Toyasa tarim urunleri,Fruits,36.7999,34.6342
Belgium,Sint-katelijne-waver,Greenery belgium,Fruits,,
Italy,Viareggio,Dini - lari & c.snc,Fruits,,
Italy,Montefalco,Cantina le cimate,Fruits,,
Spain,Villanueva de la cañada,Sociedad agropecuaria española sa,Fruits,,
Spain,Almazora,Vicente vilar morella sl,Fruits,39.4848,-0.37096
Spain,Almazora,Agrimarba s.a.,Fruits,39.4848,-0.37096
Spain,Murcia,Scorpyus fruits sa,Fruits,37.9831,-1.13139
Spain,Murcia,Raimundo garcia y cia sa,Fruits,37.9831,-1.13139
Spain,Moncofa,Sat n 9932 fast fruit,Fruits,39.8068,-0.14304
Spain,Guadassuar,Vicente ginestar fruits s.l.,Fruits,39.1882,-0.47855
Spain,Valencia,Agrisol consorcio de exportacion s.a.,Fruits,39.4689,-0.37686
Spain,Palma de gandia,"Cooperativa agricola san miguel de palma de gandia, coop. valenciana",Fruits,38.923,-0.22282
Spain,Castellon,Perez peiro sa,Fruits,39.9852,-0.04594
Spain,La pobla llarga,Antonio muñoz y cia sa,Fruits,39.0884,-0.47463
Spain,Palma,Bibifrut sl,Fruits,39.5715,2.64694
Spain,La rinconada,Productores unidos sevillanos sa.,Fruits,37.4929,-5.97825
Spain,Oliva,Convite s.a.,Fruits,38.9189,-0.11795
Spain,Bellvis,Sat fruitsa n 1396 cat,Fruits,,
Spain,Guimar,Coop agricola el calvario de guimar,Fruits,,
Spain,Puerto lumbreras,Sol de levante scl,Fruits,,
Spain,Alcala del rio,Mudapelo sa,Fruits,,
France,Compans,Riche sarl,Fruits,,
Italy,Faenza,Erbacci pier franco,Fruits,,
Italy,Chiaramonte gulfi,Chessari salvatore,Fruits,,
Italy,Montefalco,Cantina le cimate,Fruits,,
Spain,Roquetas de mar,Frutas playa sat n al005,Fruits,,
Italy,Peccioli,Azienda agricola la fornace,Fruits,,
France,Rouen,Pierre craignou sa,Fruits,,
Spain,Telde,Hermanos ramirez ramirez sl,Fruits,,
Spain,Madrid,Carlos gomez sl,Fruits,40.4196,-3.69196
Poland,Skierniewice,Przedsiebiorstwo produkcyjno handlowo uslugowe tekspod jolanta i jozef orlowscy export imp,Fruits,,
Spain,Sant cebria de vallalta,Productes agricoles carreras sa,Fruits,,
Spain,Huetor-tajar,Espahuetor sdad coop andaluza,Fruits,,
Spain,Calasparra,Perez martinez francisco,Fruits,,
Spain,Villanueva de la cañada,Sociedad agropecuaria española sa,Fruits,,
France,Montpellier,Prima fruits sarl,Fruits,,
Spain,Molina de segura,Frutas canavate sa,Fruits,,
Italy,Campiglia marittima,Pistolesi enzo & figli s.a.s.,Fruits,,
Italy,Rossano,Acri giovanni battista,Fruits,39.5759,16.6347
Italy,Ispica,Firera francesco,Fruits,36.7819,14.9098
Italy,Cerreto sannita,Di crosta carmela,Fruits,,
Italy,Grammichele,Pennisi giuseppe,Fruits,37.2159,14.6355
Spain,Chilches,"Antonio llusar y cia., s.l.",Fruits,39.7817,-0.18469
Italy,Viareggio,Dini - lari & c.snc,Fruits,,
Italy,San lorenzo maggiore,Caris di sanzari carlo amabile,Fruits,,
Italy,Ribera (ag),Biofruit srl,Fruits,37.5047,13.2723
Spain,Alcala de xivert,Frutas sorli s.r.l.,Fruits,40.3059,0.22602
Spain,Hinojosa del duque,Hilario aranda alcudia candido alcudia ramirez cb,Fruits,,
Spain,La rinconada,Productores unidos sevillanos sa.,Fruits,37.4929,-5.97825
Spain,Cantillana,Naranjales del guadalquivir sca,Fruits,,
Italy,Scordia,Associazione produttori agricoli cav.a.calleri,Fruits,37.2929,14.8493
Italy,Terlano,Thuile s.a.s. & co.,Fruits,,
Italy,Cogorno,Ferri fratelli,Fruits,,
Italy,Merano,Hauser luis,Fruits,,
Italy,Montefalco,Cantina le cimate,Fruits,,
Italy,Livorno,Andi frutta di antonangeli enrico,Fruits,,
Italy,Peccioli,Azienda agricola la fornace,Fruits,,
Spain,Llers,Fruites hurtos s. l.,Fruits,,
France,Nice,Dolla sa,Fruits,,
Italy,Ispica,Firera francesco,Fruits,36.7819,14.9098
Spain,Las palmas de gran canaria,Soaldea sl,Fruits,,
Italy,Vedelago,Bortoletto livio,Fruits,,
Spain,Lepe,Sdad coop and nuestra senora de la bella,Fruits,,
Italy,Tavarnelle val di pesa,Azienda agraria cerbaia,Fruits,,
Spain,Ecija,Sat n.  9616 frutas castilla,Fruits,,
Spain,Daya nueva,Eco spain gomez garcia sl,Fruits,,
Spain,Oliva,Convite s.a.,Fruits,38.9189,-0.11795
Italy,Peccioli,Azienda agricola la fornace,Fruits,,
Italy,Stornara,F.lli capolongo s.r.l.,Fruits,,
Italy,Vigasio,Societa agricola colpo cristian denis e andrea,Fruits,,
Spain,Puebla de guzman,Campo baldio de puebla de guzman s.l.,Fruits,,
Turkey,Mersin,Toyasa tarim urunleri,Fruits,36.7999,34.6342
Spain,Illar,Albentillas s coop and,Fruits,,
Italy,Andrano,Rizzo salvatore,Fruits,,
Italy,Canale,Azienda agricola di costa mario,Fruits,,
Italy,Alliste,De.ca ( s.r.l. ),Fruits,,
Italy,Sassari,Cattari maria gavina,Fruits,,
Italy,Vigliano d'asti,Tartagllino ezio,Fruits,,
Italy,Lanuvio,Colline laziali societa' a responsabilita' limitata semplificata,Fruits,,
Italy,Saluzzo,Banchio romualdo,Fruits,,
Italy,Torino,G.m.ortofrutticola srls,Fruits,,
Italy,Samugheo,Cantina sociale cooperativa a r l,Fruits,,
Italy,Rivergaro,Bonelli andrea,Fruits,,
Italy,Melfi,Da.li.la. bio - societa' agricola a responsabilita' limitata,Fruits,,
Spain,A coruna,Froitonoso scl,Fruits,,
Italy,Vittoria,Agri 2000 s.r.l.,Fruits,,
Italy,Terracina,La vita s.r.l.,Fruits,,
Italy,Perugia,Soc umbra banane s.r.l.,Fruits,,
Italy,Taviano,Punto legni s.r.l.,Fruits,,
Italy,Viadana,Sugarotti claudio,Fruits,,
Italy,Oderzo,Societa' agricola funghi della marca,Fruits,,
Spain,La pobla de vallbona,Garcia badia sl,Fruits,,
Spain,Santa cruz de tenerife,Norberto,Fruits,,
Spain,Hinojosa del duque,Hilario aranda alcudia candido alcudia ramirez cb,Fruits,,
Italy,Scicli,Padua massimo e c s.n.c.,Fruits,,
Italy,Pontedassio,Soc. sempl.agr. frantoio di potedassio s.s.,Fruits,,
Italy,Cogorno,Ferri fratelli,Fruits,,
Italy,Gambassi terme,Azienda agraria pietralta,Fruits,,
Italy,Vigasio,Societa agricola colpo cristian denis e andrea,Fruits,,
Spain,Gijon,Fruteros asturianos sa,Fruits,,
Spain,Elche/elx,Andres anton esclapez sl,Fruits,,
Italy,Centuripe,Gi. & ni. ortofrutta s.r.l.,Fruits,,
Italy,Cinigiano,Az. agr. antonini di antonini paola,Fruits,,
Italy,Bari,Franco luigi,Fruits,,
Italy,Savignano sul panaro,Cavedoni gianni,Fruits,,
Italy,Terlano,Thuile s.a.s. & co.,Fruits,,
Italy,Sessa aurunca,A.o.p. serena,Fruits,,
France,Briançon,Leon abeil & fils,Fruits,,
France,Asques,Sarl brun roland,Fruits,,
France,Loudun,Sarl diva sun,Fruits,,
Italy,Stornara,F.lli capolongo s.r.l.,Fruits,,
Spain,Santa cruz de tenerife,Norberto,Fruits,,
Spain,Alcala de xivert,Frutas sorli s.r.l.,Fruits,40.3059,0.22602
Spain,Montilla,Frutas carpio sociedad anonima laboral,Fruits,,
Italy,Orta nova,Mediterranea agricola s.r.l.,Fruits,,
Italy,Montevarchi,Casilli l. & figlio,Fruits,43.5213,11.5685
Italy,Tenna,Valcanover flavio,Fruits,,
Italy,Catania,Commerciale ortofrutticola sud - s.r.l.,Fruits,37.5114,15.0675
Spain,Cantillana,Naranjales del guadalquivir sca,Fruits,,
Spain,Tornabous,Fruits-casany-cornellana s.l.,Fruits,,
Spain,Alhaurin de la torre,Sanchez becerra hermanos sl,Fruits,36.662,-4.56649
Spain,Lorqui,Sdad coop agraria los valientes o.p.f.h. 606,Fruits,,
Italy,Gallinaro,Azienda agricola tullio s.r.l.,Fruits,,
Italy,Canale,Azienda agricola di costa mario,Fruits,,
Italy,Alliste,De.ca ( s.r.l. ),Fruits,,
Spain,A coruña,Frutas del fraile s.a.,Fruits,,
Italy,Sarzana,Sac s.r.l.,Fruits,,
Italy,Siracusa,Giustolisi rocco,Fruits,37.078,15.2813
Italy,Rutigliano,Redavid vitandrea,Fruits,,
Spain,Murcia,Hijos de alberto del cerro sl,Fruits,37.9831,-1.13139
Italy,Pollutri,Co.di.ta. s.n.c. di colangelo giovanni & c.,Fruits,,
Italy,Ragusa,Societa' agricola santa rosalia soc. coop.,Fruits,,
Italy,Rutigliano,Agricola torre guiducci di amodio e deflorio s.s.,Fruits,,
Italy,Alliste,Mirelli rita,Fruits,,
Italy,Roncade,Azienda agricola s. giovanni di bardi pancrazio,Fruits,,
Italy,Fermo,Azienda agricola monaldi edda,Fruits,,
Italy,Chieti,Lavanderia a - z,Fruits,,
Spain,Sant joan d'alacant,Saleman s a,Fruits,,
Spain,Ocaña,Hermanos vidal sl,Fruits,,
Italy,Volano,Raffaelli francesco,Fruits,,
Italy,Foligno,Buompadre angelo,Fruits,,
Italy,Cerreto guidi,Henrici sabine,Fruits,,
Italy,Acqui terme,Azienda agricola casc. sant'ubaldo,Fruits,,
Italy,Cesena,Cooperativa c.o.m. cesena,Fruits,,
Italy,Carinola,Goodfruit di migliozzi benito s.a.s.,Fruits,,
Spain,Guadassuar,Frutas beltran sl,Fruits,39.1882,-0.47855
Italy,Vittoria,Denaro e modica comm. ortofrutticoli srl,Fruits,,
Italy,Lillianes,Cooperativa ilriccio sc,Fruits,,
Italy,Pizzo,Azienda agricola di leo massimiliano,Fruits,,
Spain,Montilla,Frutas carpio sociedad anonima laboral,Fruits,,
Italy,Acireale,Societa' cooperativa n.o.e. nuovi orizzonti europei,Fruits,37.6125,15.1656
Spain,Miramar,Pomelos mbc sociedad limitada.,Fruits,,
Italy,Andrano,Rizzo salvatore,Fruits,,
Spain,Baena,Hermanos ordoñez jurado sa,Fruits,,
Italy,Zapponeta,Valentino angelo,Fruits,,
Spain,Málaga,Cutlimon,Fruits,,
Spain,Murcia,Frutas condiso s.l.,Fruits,37.9831,-1.13139
Spain,Agost,Horticola el jardin de las delicias sl,Fruits,,
Spain,El ejido,Union de agricultores sa,Fruits,,
Spain,Zaragoza,Mercacorreas sa,Fruits,,
Spain,Torre-pacheco,Gregal sociedad cooperativa,Fruits,,
France,Maurepas,Ste beillot,Fruits,,
Germany,Bad marienberg,Goltera gmbh & co. kg.,Fruits,,
France,Gellainville,Ste marco et danielou,Fruits,,
Turkey,Mersin,Gulerler citrus,Fruits,36.7999,34.6342
France,St laurent blangy,Rosello et fils,Fruits,,
Turkey,Istanbul,Metin zafer pazarlama ve dis ticaret ltd sti,Fruits,41.062,28.9888
France,Beziers,Ste  dolsa fruits,Fruits,,
Poland,Piotrkow trybunalski,Firma handlowa nowalijka renata wychowalek,Fruits,,
Italy,Treiso,Azienda agricola 'il crave'' di meinardi corrado,Fruits,,
Italy,San lorenzo maggiore,Caris di sanzari carlo amabile,Fruits,,
Italy,Piegaro,Idee dalla natura s.n.c. di buzzetti l. & c.,Fruits,,
Italy,Pagno,Cosa elio,Fruits,,
Spain,Miramar,Pomelos mbc sociedad limitada.,Fruits,,
Italy,Pontedassio,Soc. sempl.agr. frantoio di potedassio s.s.,Fruits,,
Italy,Sassari,Cattari maria gavina,Fruits,,
France,Montpellier,Prima fruits sarl,Fruits,,
Italy,Cogorno,Ferri fratelli,Fruits,,
France,Beziers,Ste  dolsa fruits,Fruits,,
France,Narbonne,Jacques marco et fils,Fruits,,
Spain,Agost,Horticola el jardin de las delicias sl,Fruits,,
Spain,Altea,Coop agricola de altea sclv,Fruits,38.6008,-0.0507
Italy,Cavallino-treporti,Societa' agricola la margherita di scarpa raffaele,Fruits,,
Italy,Manduria,I.i.s.s. l.einaudi,Fruits,,
Italy,Cerignola,Castellano pietro,Fruits,,
France,Vert st denis,Mag prim,Fruits,,
Italy,Rosolina,Cooperativa ortolani di rosolina,Fruits,,
Poland,Grojec,Pol agro spolka akcyjna mazowieckie zaklady przetworstwa rolno spozywczego,Fruits,,
Italy,Ginosa,D'attoli,Fruits,,
France,St girons,Despujols primeurs,Fruits,,
Spain,Murcia,Amgat citrus products s.a.,Fruits,37.9831,-1.13139
France,Rungis,Canovas et compagnie,Fruits,48.7492,2.35141
Spain,Alcala de xivert,Hermanos bruño sl,Fruits,40.3059,0.22602
France,Belfort du quercy,La pinede,Fruits,44.26962,1.5437
France,Perpignan,Sas arco fruits,Fruits,42.6982,2.88748
Spain,Santomera,Citromil sl,Fruits,38.0597,-1.04843
Spain,Oliva,Canamas hermanos sa,Fruits,38.9189,-0.11795
Spain,El ejido,Union de agricultores sa,Fruits,,
Spain,Zaragoza,Mercacorreas sa,Fruits,,
France,Rungis cedex,Del gaudio group,Fruits,48.7492,2.35141
Poland,Krakow,Consorfrut polska sp. z o.o.,Fruits,50.0605,19.9324
France,Tours,Estivin logistique services,Fruits,,
Italy,Villasor,Cooperativa agricola ortofrutticola villasor,Fruits,,
Spain,Puig,Angel teresa hermanos sa,Fruits,,
France,Corbas,Primeurs du sud est,Fruits,,
Netherlands,Ridderkerk,Zoutewelle import b.v.,Fruits,,
Germany,Vogtsburg,O g s obst- und gemüsevertrieb südbaden gmbh,Fruits,,
Netherlands,Bleiswijk,Haluco b.v.,Fruits,,
France,Vannes,Etablissements le roux,Fruits,,
Netherlands,Poeldijk,Anaco & greeve international b.v.,Fruits,,
Netherlands,Brielle,Tuinderij vers b.v.,Fruits,,
Peru,Piura,F & f sandoval sac,Fruits,-5.19219,-80.6283
Netherlands,Venlo,Klaas & co,Fruits,,
France,St girons,Despujols primeurs,Fruits,,
Spain,Murcia,Frutas poveda sa,Fruits,37.9831,-1.13139
France,Perpignan,Agrispa,Fruits,42.6982,2.88748
Italy,Rutigliano,F.lli rescina s.r.l.,Fruits,,
France,St laurent blangy,Rosello et fils,Fruits,,
Poland,Ozarow mazowiecki,Rolnicza spoldzielnia produkcyjna w duchnicach,Fruits,,
Belgium,Gistel,Duva fruit,Fruits,,
Belgium,Sint-katelijne-waver,Van dijk foods,Fruits,,
Poland,Bronisze,Imperium. grupa producentow warzyw,Fruits,,
Belgium,Dessel,Fruitmarkt cools,Fruits,,
Netherlands,Venlo,Klaas & co,Fruits,,
Spain,L'alcudia,Cooperativa agricola nuestra senora del oreto coop v,Fruits,,
France,Rungis cedex,Societe pierre desmettre & fils,Fruits,48.7492,2.35141
Peru,Piura,F & f sandoval sac,Fruits,-5.19219,-80.6283
Netherlands,Breda,Aartsenfruit breda b.v.,Fruits,,
Poland,Nowy sacz,Przedsiebiorstwo produkcyjno uslugowo handlowe polmex sp z o o,Fruits,49.621,20.7002
France,Vannes,Etablissements le roux,Fruits,,
Germany,Stuttgart,Andretta fruchtimport gmbh,Fruits,,
France,St julien de concelles,Nanteurop fl,Fruits,,
France,Marignac,Royal saveurs sas,Fruits,,
Spain,Puig,Angel teresa hermanos sa,Fruits,,
Germany,Konstanz,Fruchthof konstanz gmbh,Fruits,,
Spain,Barcelona,Frutas lucas sa,Fruits,,
Poland,Krakow,Consorfrut polska sp. z o.o.,Fruits,50.0605,19.9324
Spain,Huesca,Distribuciones correas s.l.,Fruits,,
France,Labatut,Prim land,Fruits,,
Germany,Leverkusen,Pott besitz gmbh & co. kg,Fruits,51.0332,6.98174
France,Tours,Estivin logistique services,Fruits,,
Spain,Cases d'alcaner-tarragona,Natur citrics,Fruits,,
Belgium,Bruxelles,Ringoot fruit,Fruits,50.8444,4.35609
Germany,Delmenhorst,Gärtnerhof sandhausen martin clausen und susanne niemeck gbr,Fruits,,
France,Maizey,Societe horticole marchal et compagnie,Fruits,,
Belgium,Rumbeke,Bovero trans,Fruits,,
Germany,Duisburg,Chiquita deutschland gmbh,Fruits,,
Italy,Ruvo di puglia,Cantatore fruit company srl,Fruits,,
Germany,Hamburg,Port international fruit gmbh,Fruits,,
Germany,Sassenberg,Kreienbaum gmbh,Fruits,,
Germany,Waldachtal,Gaiser kg,Fruits,48.4909,8.56581
Germany,Bienenbüttel,Gärtnerhof bienenbüttel gmbh,Fruits,,
Belgium,Ternat,Etablissements van damme,Fruits,,
Belgium,Sint-katelijne-waver,Van dijk foods,Fruits,,
Italy,Corato,Oirtofruttameridionale snc,Fruits,,
Greece,Arta,Krop,Fruits,39.6912,3.34846
Spain,Entrena-la rioja,Zanahorias medrano,Fruits,,
Spain,Picassent-valencia,Terrabona coop. v,Fruits,,
Egypt,Alexandria,El rowad corporation,Fruits,31.2105,29.9125
Spain,Cabezo de torres-murcia,Hijos de joaquín rodríguez sl,Fruits,,
Spain,Sanchonuño-segovia,Precocinados el campo,Fruits,,
Italy,Parabita,Ro.gr.an sr,Fruits,,
France,Phalempin,Verduyn france,Fruits,,
Belgium,Sint-katelijne-waver,Aartsenfruit,Fruits,,
Belgium,Geel,Euro gijbels,Fruits,,
Belgium,Sint-katelijne-waver,Belorta,Fruits,,
Belgium,Sint-katelijne-waver,Keirsmaekers en zoon wdk,Fruits,,
Belgium,Zelzate,K&f de pauw,Fruits,,
Belgium,Oostende,Achiel primeurs,Fruits,,
Belgium,Deinze,De meyer & co,Fruits,,
Germany,Stuttgart,Wilhelm röser gmbh,Fruits,,
Spain,Cases d'alcaner-tarragona,Natur citrics,Fruits,,
Germany,Löbnitz,Agrarprodukte löbnitz gmbh,Fruits,,
Germany,Duisburg,Univeg duisburg gmbh,Fruits,,
Morocco,Chtouka-ait baha,Bairouk fruits,Fruits,,
Italy,Bologna,Befer fruit srl,Fruits,,
Italy,Rutigliano,Meravigliosa,Fruits,,
Italy,Capaccio paestum,Ortofrutta desiderio s.r.l.,Fruits,,
Italy,Conversano,Coletta snc,Fruits,,
Italy,Avellino,Fruit italy di caliendo mario sas,Fruits,,
Netherlands,Amstelveen,M&m import & export,Fruits,,
Italy,San pietro in casale,Consorzio agribologna,Fruits,,
Italy,Bologna,Golden fruit srl,Fruits,,
Italy,Aprilia,Gruppo produttori agri' s.r.l.,Fruits,,
Italy,Porcari,Agricola gloria due s.r.l.,Fruits,,
Italy,Cisterna di latina,Agricollibio s.r.l.,Fruits,41.5942,12.824
Poland,Kraków,Fhu peterman piotr pawlowski,Fruits,,
Poland,Piekary śląskie,Alexis.,Fruits,,
Morocco,Agadir,Azerkouk export,Fruits,30.4202,-9.60394
Belgium,Arlon,Végépack,Fruits,,
Spain,Jamilena (jaén),Ajos y cebollas droesmar s.l.,Fruits,,
Spain,Alboraya-valencia,Frutas y verduras hermanos monrós,Fruits,,
France,Marseille,Equateur fruits,Fruits,43.2934,5.37132
Netherlands,Rotterdam,Frescon fruit direct bv,Fruits,,
Belgium,Borgloon,Bel'export,Fruits,,
Turkey,Istanbul,Nmt logistics  &  foreign trade ltd,Fruits,41.062,28.9888
Egypt,Cairo,Elwadi export co for agricultural products,Fruits,30.0443,31.2353
Spain,La almunia de doña godina,Agricola gil s.l.,Fruits,,
Spain,Tudela,Horticola tudelana sa,Vegetables,,
Spain,Montalban de cordoba,Coagramon sdad coop andaluza,Vegetables,,
Spain,Barcelona,Pilar garcía vasquez,Vegetables,,
Spain,Torre-pacheco,Mediterranea de ensalada sdad coop ltda,Vegetables,,
Spain,Barcelona,"Mushroom ltd, sl",Vegetables,,
Spain,Motril,Carchuna la palma sdad coop and,Vegetables,,
Poland,Mielec,Gospodarstwo ogrodnicze eko,Vegetables,,
Spain,Barcelona,Frutas pua s.l.,Vegetables,,
Poland,Bardo,Carota,Vegetables,,
Spain,Almeria,Import export unitrade spain sa,Vegetables,,
Spain,Almeria,Sat natural growers,Vegetables,,
Spain,Llanos de aridane,Sat num 5494 idafe,Vegetables,,
Spain,Cambrils,Verdcamp fruits sat n 1132 cat,Vegetables,,
France,Miribel,Sarl des grandes terres,Vegetables,,
Spain,La baneza,Productos agricolas cano sa,Vegetables,,
Spain,Murcia,Agrotomy s.l.,Vegetables,37.9831,-1.13139
Spain,Jaraiz de la vera,Union de productores de pimenton soc coop,Vegetables,,
Spain,Mazarron,Horticola de mazarron sa,Vegetables,,
Spain,Chozas de canales,Sat n 4201 family,Vegetables,,
Spain,Barcelona,Frutasa sa,Vegetables,,
Spain,Basauri,Frutas sologuren sa,Vegetables,,
Spain,Cuevas del almanzora,Explotaciones malagon sa,Vegetables,,
Spain,Orihuela,Sat 6386 vega baja,Vegetables,38.0817,-0.94487
Spain,Sant adria de besos,Fruicam s. l.,Vegetables,,
Spain,Tudela,Sat dos mil 635 na,Vegetables,,
Spain,Vilariño,Horsal scl,Vegetables,,
France,Noyelles en chaussee,La noyelloise oger pere et fils,Vegetables,,
Spain,Los palacios y villafranc,Hortupal sa,Vegetables,,
Spain,La orotava,Culpla sl,Vegetables,,
Spain,Sant jaume d'enveja,Catalan nurseries s.a.,Vegetables,,
Spain,Montalban de cordoba,Coagramon sdad coop andaluza,Vegetables,,
Spain,El ejido,San isidro labrador sca,Vegetables,,
France,Plounévez-lochrist,Sbel sarl,Vegetables,,
Spain,Viator,Casur sca,Vegetables,,
Spain,Vilagarcia de arousa,Frutas y hortalizas santa rita sl,Vegetables,,
Spain,Cambrils,Verdcamp fruits sat n 1132 cat,Vegetables,,
Spain,Murcia,Agrotomy s.l.,Vegetables,37.9831,-1.13139
Spain,Mazarron,Horticola de mazarron sa,Vegetables,,
Spain,Chozas de canales,Sat n 4201 family,Vegetables,,
Spain,Barcelona,Frutasa sa,Vegetables,,
Spain,Basauri,Frutas sologuren sa,Vegetables,,
Spain,Cuevas del almanzora,Explotaciones malagon sa,Vegetables,,
Spain,Orihuela,Sat 6386 vega baja,Vegetables,38.0817,-0.94487
Spain,Sant adria de besos,Fruicam s. l.,Vegetables,,
Spain,Tudela,Sat dos mil 635 na,Vegetables,,
Turkey,Mugla,Oso tic. sebze ve meyve ihracati,Vegetables,,
Spain,Vilariño,Horsal scl,Vegetables,,
Spain,Los palacios y villafranc,Hortupal sa,Vegetables,,
Spain,Roquetas de mar,Indalfrutas s.l.,Vegetables,,
Spain,Sant jaume d'enveja,Catalan nurseries s.a.,Vegetables,,
Spain,Vicar,Hortalizas indasur s.l.,Vegetables,,
Spain,Nijar,Sat hortofruticola al-0106,Vegetables,,
France,Marmande,De la cruz freres,Vegetables,,
France,Nomain,Endives de roupy,Vegetables,,
Spain,Jerez de la frontera,Royalcress sa,Vegetables,,
Spain,Molina de segura,Export onion sl,Vegetables,,
Spain,Motril,Vega costa motril sdad coop andaluza,Vegetables,,
Spain,Alhaurin el grande,Verduras tirado s.l.,Vegetables,,
Spain,Sevilla,Hijos de enrique martin sa,Vegetables,37.3879,-6.00197
Spain,Barcelona,Pilar garcía vasquez,Vegetables,,
Spain,Utrera,Explotaciones agricolas ayala sociedad limitada.,Vegetables,,
Spain,Puerto lumbreras,Agrico la hermita 32 s.l.,Vegetables,,
Spain,Rocafort,Jafeva sociedad limitada.,Vegetables,,
Spain,Fuente alamo de murcia,La forja sat n 4207 de resp limitada,Vegetables,,
France,Perpignan,Serfel,Vegetables,42.6982,2.88748
Spain,Escuzar,"Granavi, s.a.",Vegetables,,
Spain,Jaraiz de la vera,Union de productores de pimenton soc coop,Vegetables,,
Turkey,Polatli,Sebzedeposu,Vegetables,,
Spain,Vimianzo,Derivados del monte sl,Vegetables,,
Spain,Puig,Valenciana de hortalizas sociedad limitada.,Vegetables,,
Italy,Endine gaiano (bg),Centro lavorazioni agroalimentari di elisabetta e patrizia berlai (s.n.c.),Vegetables,,
Spain,Roquetas de mar,Frutas playa sat n al005,Vegetables,,
France,Rouen,Pierre craignou sa,Vegetables,,
Spain,A coruña,Frutas rios s.l.,Vegetables,,
Spain,Telde,Hermanos ramirez ramirez sl,Vegetables,,
Spain,Madrid,Carlos gomez sl,Vegetables,40.4196,-3.69196
Poland,Skierniewice,Przedsiebiorstwo produkcyjno handlowo uslugowe tekspod jolanta i jozef orlowscy export imp,Vegetables,,
Spain,Sant cebria de vallalta,Productes agricoles carreras sa,Vegetables,,
Belgium,Sint-katelijne-waver,Greenery belgium,Vegetables,,
Spain,Villanueva de la cañada,Sociedad agropecuaria española sa,Vegetables,,
France,Montpellier,Prima fruits sarl,Vegetables,,
Poland,Warszawa,Fresh product trybuł,Vegetables,,
Spain,Almenara,Torres hermanos y sucesores sa,Vegetables,,
Spain,San pedro del pinatar,Oleorresinas mar menor sociedad limitada.,Vegetables,,
Poland,Krakow,Agro ecco sp. z o.o.,Vegetables,50.0605,19.9324
Spain,Ecija,Enosaga sa,Vegetables,,
Spain,Jete,Nuestra sra de bodijar scl,Vegetables,,
Italy,Ispica (rg),Associazione tra produttori agricoli colle d'oro,Vegetables,,
Spain,Vicar,Agro organics soc coop andaluza,Vegetables,,
Spain,Almeria,Sat natural growers,Vegetables,,
Spain,Cuevas del almanzora,Domingo jose frutas y hortalizas sociedad limitada.,Vegetables,,
Spain,Redovan,Joanru sl,Vegetables,,
Spain,La mojonera,Agrolumar s a,Vegetables,,
Spain,Barcelona,Carmen fornermiqel,Vegetables,,
Poland,Bardo,Carota,Vegetables,,
Spain,Barcelona,Frutas pua s.l.,Vegetables,,
Spain,Guia de isora,Sociedad cooperativa agricola nuestra senora de la paz,Vegetables,,
Poland,Koniusza,Amplus bucki skrzydlewski sotwin spolka jawna,Vegetables,,
France,Maizey,Sarl marchal,Vegetables,,
