"","Date","Kerosene_Price"
"1",2016-01-01,0.250894553690438
"2",2016-01-08,0.243036067227623
"3",2016-01-15,0.217985449017267
"4",2016-01-22,0.207925235513375
"5",2016-01-29,0.228481823336947
"6",2016-02-05,0.236208312314466
"7",2016-02-12,0.228733811197575
"8",2016-02-19,0.235987805816149
"9",2016-02-26,0.226026301752016
"10",2016-03-04,0.242804423154009
"11",2016-03-11,0.258750511690936
"12",2016-03-18,0.257403845192096
"13",2016-03-25,0.255499680829822
"14",2016-04-01,0.239654078409821
"15",2016-04-08,0.237386416178672
"16",2016-04-15,0.267356209836513
"17",2016-04-22,0.273644485988355
"18",2016-04-29,0.294731277809302
"19",2016-05-06,0.27902737164402
"20",2016-05-13,0.289360839065395
"21",2016-05-20,0.320317504667209
"22",2016-05-27,0.32463700145922
"23",2016-06-03,0.319638434312546
"24",2016-06-10,0.331854516577535
"25",2016-06-17,0.316369670192476
"26",2016-06-24,0.331116421137225
"27",2016-07-01,0.330167680729689
"28",2016-07-08,0.321638202343331
"29",2016-07-15,0.309150880346626
"30",2016-07-22,0.299552464770698
"31",2016-07-29,0.276214860761632
"32",2016-08-05,0.27481348665201
"33",2016-08-12,0.287991364776716
"34",2016-08-19,0.317544966610065
"35",2016-08-26,0.329116590672896
"36",2016-09-02,0.314182037929105
"37",2016-09-09,0.309931066902396
"38",2016-09-16,0.3084833150058
"39",2016-09-23,0.307029221260087
"40",2016-09-30,0.321280277284665
"41",2016-10-07,0.348579373652288
"42",2016-10-14,0.352402645477371
"43",2016-10-21,0.353838808657331
"44",2016-10-28,0.347898038621743
"45",2016-11-04,0.327878368664243
"46",2016-11-11,0.323441103941045
"47",2016-11-18,0.327556162491047
"48",2016-11-25,0.349784730005485
"49",2016-12-02,0.353330902965744
"50",2016-12-09,0.361043976095003
"51",2016-12-16,0.377062801869677
"52",2016-12-23,0.378681592123178
"53",2016-12-30,0.385694886808125
"54",2017-01-06,0.388110220310866
"55",2017-01-13,0.375848636160045
"56",2017-01-20,0.373369826613645
"57",2017-01-27,0.372937936053648
"58",2017-02-03,0.373216220376766
"59",2017-02-10,0.378392875064045
"60",2017-02-17,0.385994105032668
"61",2017-02-24,0.391399512715345
"62",2017-03-03,0.382027913158335
"63",2017-03-10,0.370923093960131
"64",2017-03-17,0.346676801530604
"65",2017-03-24,0.344953474563414
"66",2017-03-31,0.355175484426307
"67",2017-04-07,0.374796692761025
"68",2017-04-14,0.390508353544346
"69",2017-04-21,0.372615317836566
"70",2017-04-28,0.351304402852863
"71",2017-05-05,0.329656327921227
"72",2017-05-12,0.332131832817746
"73",2017-05-19,0.339647219597061
"74",2017-05-26,0.348233600360418
"75",2017-06-02,0.331052283470149
"76",2017-06-09,0.306394354316932
"77",2017-06-16,0.304411073129315
"78",2017-06-23,0.29684127386718
"79",2017-06-30,0.304661638712955
"80",2017-07-07,0.314136630235014
"81",2017-07-14,0.314981105517252
"82",2017-07-21,0.326339227094539
"83",2017-07-28,0.338531518050651
"84",2017-08-04,0.346665634143378
"85",2017-08-11,0.344812508416077
"86",2017-08-18,0.337822414687706
"87",2017-08-25,0.346433272900544
"88",2017-09-01,0.389608997462188
"89",2017-09-08,0.431909595177561
"90",2017-09-15,0.392122631445749
"91",2017-09-22,0.380841263110375
"92",2017-09-29,0.382290226942291
"93",2017-10-06,0.369948096412061
"94",2017-10-13,0.366912015826066
"95",2017-10-20,0.369849112148754
"96",2017-10-27,0.377491788089139
"97",2017-11-03,0.387419824736718
"98",2017-11-10,0.404958382992419
"99",2017-11-17,0.391718907987427
"100",2017-11-24,0.3975595729596
"101",2017-12-01,0.396251594384721
"102",2017-12-08,0.395428491698634
"103",2017-12-15,0.403547210742538
"104",2017-12-22,0.405130968311998
"105",2017-12-29,0.418359879212599
"106",2018-01-05,0.421596826505592
"107",2018-01-12,0.428035383395486
"108",2018-01-19,0.416114343939708
"109",2018-01-26,0.427203194422846
"110",2018-02-02,0.418926588976347
"111",2018-02-09,0.395195267171381
"112",2018-02-16,0.380034770830906
"113",2018-02-23,0.396877582897444
"114",2018-03-02,0.400880998346911
"115",2018-03-09,0.386560091930862
"116",2018-03-16,0.385182397892336
"117",2018-03-23,0.405490746497604
"118",2018-03-30,0.416007411381425
"119",2018-04-06,0.413176093068569
"120",2018-04-13,0.431872198222182
"121",2018-04-20,0.434901449621402
"122",2018-04-27,0.44980527205918
"123",2018-05-04,0.456570807049085
"124",2018-05-11,0.477138586928813
"125",2018-05-18,0.490966672947192
"126",2018-05-25,0.493544091497947
"127",2018-06-01,0.485206791967957
"128",2018-06-08,0.473124740318603
"129",2018-06-15,0.472121987174612
"130",2018-06-22,0.467345401030909
"131",2018-06-29,0.476361925674301
"132",2018-07-06,0.47785302722218
"133",2018-07-13,0.477908939992159
"134",2018-07-20,0.462672897920967
"135",2018-07-27,0.476796138068497
"136",2018-08-03,0.476516400704042
"137",2018-08-10,0.479124381474088
"138",2018-08-17,0.481993144044915
"139",2018-08-24,0.485036688988891
"140",2018-08-31,0.496913180169408
"141",2018-09-07,0.497127566360634
"142",2018-09-14,0.497265809571759
"143",2018-09-21,0.485824555565893
"144",2018-09-28,0.504033477273011
"145",2018-10-05,0.531045360289866
"146",2018-10-12,0.525251131673619
"147",2018-10-19,0.511643787474856
"148",2018-10-26,0.507792181979048
"149",2018-11-02,0.497868486123247
"150",2018-11-09,0.485700838706564
"151",2018-11-16,0.461703714268474
"152",2018-11-23,0.437645795696293
"153",2018-11-30,0.408686527375902
"154",2018-12-07,0.414970286790494
