week,year,wci,wci_2_weeks,wci_1_month
49,2018,1643,1721,1799
50,2018,1623,1708,1805
51,2018,1627,1643,1721
52,2018,1571,1623,1708
01,2019,1793,1627,1643
02,2019,1690,1571,1623
03,2019,1690,1793,1627
04,2019,1766,1690,1571
05,2019,1720,1690,1793
06,2019,1664,1766,1690
07,2019,1683,1720,1690
08,2019,1606,1664,1766
09,2019,1478,1683,1720
10,2019,1440,1606,1664
11,2019,1323,1478,1683
12,2019,1293,1440,1606
13,2019,1324,1323,1478
14,2019,1395,1293,1440
15,2019,1334,1324,1323
16,2019,1330,1395,1293
17,2019,1342,1334,1324
18,2019,1379,1330,1395
19,2019,1394,1342,1334
20,2019,1364,1379,1330
21,2019,1310,1394,1342
22,2019,1291,1364,1379
23,2019,1371,1310,1394
24,2019,1351,1291,1364
25,2019,1351,1371,1310
26,2019,1353,1351,1291
27,2019,1372,1351,1371
28,2019,1309,1353,1351
29,2019,1373,1372,1351
30,2019,1321,1309,1353
31,2019,1405,1373,1372
32,2019,1463,1321,1309
33,2019,1456,1405,1373
34,2019,1454,1463,1321
35,2019,1407,1456,1405
36,2019,1454,1454,1463
37,2019,1387,1407,1456
38,2019,1271,1454,1454
39,2019,1262,1387,1407
40,2019,1228,1271,1454
41,2019,1196,1262,1387
42,2019,1242,1228,1271
43,2019,1238,1196,1262
44,2019,1406,1242,1228
45,2019,1448,1238,1196
46,2019,1400,1406,1242
47,2019,1348,1448,1238
48,2019,1367,1400,1406
49,2019,1442,1348,1448
50,2019,1515,1367,1400
51,2019,1592,1442,1348
52,2019,1712,1515,1367
01,2020,1832,1592,1442
02,2020,1781,1712,1515
03,2020,1791,1832,1592
04,2020,1725,1781,1712
05,2020,1733,1791,1832
06,2020,1673,1725,1781
07,2020,1673,1733,1791
08,2020,1576,1673,1725
09,2020,1540,1673,1733
10,2020,1486,1576,1673
11,2020,1483,1540,1673
12,2020,1585,1486,1576
13,2020,1525,1483,1540
14,2020,1530,1585,1486
15,2020,1530,1525,1483
16,2020,1504,1530,1585
17,2020,1492,1530,1525
18,2020,1446,1504,1530
19,2020,1486,1492,1530
20,2020,1542,1446,1504
21,2020,1593,1486,1492
22,2020,1576,1542,1446
23,2020,1687,1593,1486
24,2020,1715,1576,1542
25,2020,1866,1687,1593
26,2020,1855,1715,1576
27,2020,2032,1866,1687
28,2020,2023,1855,1715
29,2020,2002,2032,1866
30,2020,1996,2023,1855
31,2020,1995,2002,2032
32,2020,2059,1996,2023
33,2020,2089,1995,2002
34,2020,2177,2059,1996
35,2020,2251,2089,1995
36,2020,2464,2177,2059
37,2020,2453,2251,2089
38,2020,2603,2464,2177
39,2020,2644,2453,2251
40,2020,2605,2603,2464
41,2020,2583,2644,2453
42,2020,2587,2605,2603
43,2020,2587,2583,2644
44,2020,2615,2587,2605
45,2020,2628,2587,2583
46,2020,2703,2615,2587
47,2020,2703,2628,2587
48,2020,3060,2703,2615
49,2020,3436,2703,2628
50,2020,3451,3060,2703
51,2020,4244,3436,2703
52,2020,4285,3451,3060
53,2020,4359,4244,3436
01,2021,5221,4285,3451
02,2021,5238,4359,4244
03,2021,5340,5221,4285
04,2021,5252,5238,4359
05,2021,5229,5340,5221
06,2021,5191,5252,5238
07,2021,5250,5229,5340
08,2021,5238,5191,5252
09,2021,5121,5250,5229
10,2021,5027,5238,5191
11,2021,4943,5121,5250
12,2021,4872,5027,5238
13,2021,4883,4943,5121
14,2021,4911,4872,5027
15,2021,4833,4883,4943
16,2021,4913,4911,4872
17,2021,4984,4833,4883
18,2021,5472,4913,4911
19,2021,5727,4984,4833
20,2021,6135,5472,4913
21,2021,6257,5727,4984
22,2021,6257,6135,5472
23,2021,6727,6257,5727
24,2021,6957,6257,6135
25,2021,8062,6727,6257
26,2021,8399,6957,6257
27,2021,8796,8062,6727
28,2021,8883,8399,6957
29,2021,8986,8796,8062
30,2021,9330,8883,8399
31,2021,9371,8986,8796
32,2021,9421,9330,8883
33,2021,9613,9371,8986
34,2021,9818,9421,9330
35,2021,9987,9613,9371
36,2021,10084,9818,9421
37,2021,10375,9987,9613
38,2021,10377,10084,9818
39,2021,10310,10375,9987
40,2021,9900,10377,10084
41,2021,9865,10310,10375
42,2021,9669,9900,10377
43,2021,9669,9865,10310
44,2021,9195,9669,9900
45,2021,9193,9669,9865
46,2021,9146,9195,9669
47,2021,9186,9193,9669
48,2021,9051,9146,9195
49,2021,9262,9186,9193
50,2021,9292,9051,9146
51,2021,9304,9262,9186
52,2021,9304,9292,9051
01,2022,9409,9304,9262
02,2022,9545,9304,9292
03,2022,9698,9409,9304
04,2022,9319.7,9545,9304
